model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,EMBEDDED,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8846153846153846,0.918918918918919,0.8594594594594596,0.8947368421052632,0.9444444444444444,0.7225916412701,0.8807881320891461,0.8526234567901235
XGBoost,EMBEDDED,PAH,TEMİZLENMİŞ,372,50,297,75,0.8933333333333333,0.9375,0.7869318181818181,0.9090909090909092,0.967741935483871,0.5896569472475084,0.9243378401158882,0.7568238213399503
XGBoost,EMBEDDED,CFTR,TEMİZLENMİŞ,111,50,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.8716874355957676,0.5657894736842105
XGBoost,FILTER_ANOVA + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,86,2344,587,0.817717206132879,0.8754365541327125,0.7678770072250864,0.8764568764568764,0.8744186046511628,0.5357607729184694,0.924528498044525,0.8513849800029625
XGBoost,FILTER_ANOVA + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,83,310,78,0.8717948717948718,0.9074074074074074,0.849537037037037,0.9074074074074074,0.9074074074074074,0.6990740740740741,0.8922350483185204,0.8549382716049383
XGBoost,FILTER_ANOVA + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,76,297,75,0.9066666666666666,0.9448818897637796,0.8202670318384115,0.9230769230769232,0.967741935483871,0.6493422457891092,0.9176320260209132,0.7444168734491314
XGBoost,FILTER_ANOVA + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,77,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.8828139360574481,0.5921052631578947
XGBoost,FILTER_ANOVA + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,84,2344,587,0.8109028960817717,0.8701754385964913,0.761106528075675,0.8752941176470588,0.8651162790697674,0.5223778193067291,0.9170761687234948,0.8375203673529847
XGBoost,FILTER_ANOVA + EMBEDDED,KANSER,TEMİZLENMİŞ,388,85,310,78,0.8717948717948718,0.9090909090909092,0.8458498023715415,0.8928571428571429,0.925925925925926,0.6932601734627976,0.8809318083338809,0.8587962962962963
XGBoost,FILTER_ANOVA + EMBEDDED,PAH,TEMİZLENMİŞ,372,80,297,75,0.88,0.9291338582677166,0.7689147552208149,0.9076923076923076,0.9516129032258064,0.5457238023121237,0.9075966774437824,0.7233250620347395
XGBoost,FILTER_ANOVA + EMBEDDED,CFTR,TEMİZLENMİŞ,111,77,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.8478779117862438,0.5263157894736842
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,71,2344,587,0.8245315161839863,0.8803716608594657,0.7756490892156753,0.8793503480278422,0.8813953488372093,0.5513050746189551,0.9233147686501556,0.8504814101614577
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,64,310,78,0.8974358974358975,0.9272727272727272,0.8766798418972332,0.9107142857142856,0.9444444444444444,0.7549888190451014,0.8976252444195311,0.8649691358024691
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,82,297,75,0.8933333333333333,0.9375,0.7869318181818181,0.9090909090909092,0.967741935483871,0.5896569472475084,0.924672527131848,0.7593052109181142
