model,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_AL_Sifir_EK_Medyan,KANSER,388,192,310,78,0.7948717948717948,0.864406779661017,0.7216770740410348,0.796875,0.9444444444444444,0.4844110009662692,0.9059492933683646,0.8248456790123457
TabNet,TABNET_Ordinal_Encoding_RobustScaler_AL_Sifir_EK_Medyan,KANSER,388,192,310,78,0.717948717948718,0.78,0.6935714285714285,0.8478260869565217,0.7222222222222222,0.40399667723558236,0.8690527058255552,0.7939814814814815
TabNet,TABNET_Ordinal_Encoding_StandardScaler_AL_Sifir_EK_Medyan,KANSER,388,192,310,78,0.6538461538461539,0.7157894736842105,0.6365832614322692,0.8292682926829268,0.6296296296296297,0.3123768342942172,0.812476997435669,0.6990740740740741
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,KANSER,388,192,310,78,0.6666666666666666,0.7450980392156863,0.6318082788671024,0.7916666666666666,0.7037037037037037,0.27230724295894376,0.8059434402495279,0.6574074074074073
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,KANSER,388,192,310,78,0.6410256410256411,0.72,0.61,0.782608695652174,0.6666666666666666,0.2345787158142091,0.7921333535250609,0.6466049382716049
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,KANSER,388,192,310,78,0.6153846153846154,0.6938775510204082,0.5883180858550316,0.7727272727272727,0.6296296296296297,0.19821694783142402,0.7764143108453279,0.6373456790123456
TabNet,TABNET_Ordinal_Encoding_StandardScaler_AL_Sifir_EK_Medyan,MASTER,2931,192,2344,587,0.7717206132879046,0.8389423076923077,0.7235647210976158,0.8681592039800995,0.8116279069767441,0.4516559613258056,0.8895709498754991,0.7863427640349577
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_AL_Sifir_EK_Medyan,MASTER,2931,192,2344,587,0.7546848381601363,0.8248175182481752,0.7078633045786331,0.8647959183673469,0.7883720930232558,0.42364332972352897,0.8820371384675587,0.7749888905347355
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,MASTER,2931,192,2344,587,0.7410562180579217,0.8141809290953546,0.6936073184802616,0.8582474226804123,0.7744186046511627,0.3965610556270502,0.8788375895434302,0.7658198785365131
TabNet,TABNET_Ordinal_Encoding_RobustScaler_AL_Sifir_EK_Medyan,MASTER,2931,192,2344,587,0.7410562180579217,0.8199052132701422,0.6796495763320408,0.8357487922705314,0.8046511627906977,0.36070726322828917,0.8518486892078536,0.7284624500074063
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,MASTER,2931,192,2344,587,0.7052810902896082,0.7829360100376411,0.6620250341965395,0.8501362397820164,0.7255813953488373,0.3431431547232234,0.880505371407225,0.7541401273885351
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,MASTER,2931,192,2344,587,0.7035775127768313,0.7883211678832117,0.647001493032515,0.826530612244898,0.7534883720930232,0.30107310929781766,0.8504846608139607,0.7056954525255519
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,MASTER,2931,192,2344,587,0.6933560477001703,0.781021897810219,0.6348291307232914,0.8188775510204082,0.7465116279069768,0.27655906521267537,0.8508158527124372,0.6969189749666715
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_KNNImputer,MASTER,2931,192,2344,587,0.7103918228279387,0.8014018691588785,0.6334053370951624,0.8051643192488263,0.7976744186046512,0.26689348148622816,0.8235921650399493,0.6700340690268108
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Medyan,MASTER,2931,192,2344,587,0.6626916524701874,0.7408376963350786,0.6289554335333929,0.8473053892215568,0.6581395348837209,0.297909444485969,0.8084305631086138,0.6909050511035402
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Medyan,PAH,372,192,297,75,0.7866666666666666,0.8666666666666667,0.6666666666666667,0.896551724137931,0.8387096774193549,0.3410103851597585,0.942097143018293,0.7661290322580646
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,PAH,372,192,297,75,0.7466666666666667,0.8403361344537815,0.613716454323665,0.8771929824561403,0.8064516129032258,0.2375267627875967,0.9027761356989781,0.7196029776674939
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_KNNImputer,PAH,372,192,297,75,0.72,0.8173913043478261,0.6086956521739131,0.8867924528301887,0.7580645161290323,0.2465364311329439,0.9333770262975812,0.739454094292804
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_AL_Sifir_EK_Medyan,PAH,372,192,297,75,0.6933333333333334,0.8,0.5714285714285714,0.8679245283018868,0.7419354838709677,0.1691714422836937,0.8256405371264754,0.5483870967741935
TabNet,TABNET_Ordinal_Encoding_StandardScaler_AL_Sifir_EK_Medyan,PAH,372,192,297,75,0.7466666666666667,0.8455284552845529,0.5709123757904246,0.8524590163934426,0.8387096774193549,0.14222814671507497,0.8599109147735364,0.6302729528535981
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,PAH,372,192,297,75,0.7733333333333333,0.8661417322834646,0.563505648750428,0.8461538461538461,0.8870967741935484,0.13125002840418165,0.8016337072848727,0.47146401985111663
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,PAH,372,192,297,75,0.7333333333333333,0.8360655737704918,0.5608899297423888,0.85,0.8225806451612904,0.1232822418933607,0.9408773769422971,0.7431761786600497
TabNet,TABNET_Ordinal_Encoding_RobustScaler_AL_Sifir_EK_Medyan,PAH,372,192,297,75,0.76,0.8571428571428571,0.5535714285714286,0.84375,0.8709677419354839,0.10885791251063999,0.9038960962515319,0.6662531017369727
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,PAH,372,192,297,75,0.52,0.625,0.47916666666666663,0.8823529411764706,0.4838709677419355,0.133964410269402,0.8647566978869556,0.5918114143920595
