model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,88,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419356,0.4424521595673921,0.9315603689948986,0.7543424317617866
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,84,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9379008527004288,0.75
CatBoost,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE + EMBEDDED,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,68,2344,587,0.8228279386712095,0.8767772511848341,0.7808128680166595,0.893719806763285,0.8604651162790697,0.5633084881848373,0.9348057862322005,0.8648940897644792
CatBoost,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE + EMBEDDED,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,69,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.92573573815055,0.8788580246913581
CatBoost,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE + EMBEDDED,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,71,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9381209516254736,0.7580645161290323
CatBoost,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE + EMBEDDED,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,79,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9577573120305722,0.8157894736842105
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,107,2344,587,0.8160136286201022,0.8717339667458432,0.773216380963283,0.8907766990291263,0.8534883720930233,0.5485237388053205,0.9290359997905218,0.8561694563768331
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,108,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.9135633496038128,0.8626543209876544
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,93,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.924607571734516,0.7456575682382134
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,103,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.929546633819894,0.7368421052631579
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,90,2344,587,0.8126064735945485,0.8693586698337292,0.769016684314455,0.8883495145631068,0.8511627906976744,0.5401100505804198,0.9280369449616616,0.8552510739149755
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,88,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814816,0.7556542691506458,0.9219581301125932,0.867283950617284
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,102,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9351278316444566,0.7568238213399503
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,108,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9220037381191036,0.7105263157894737
