model,k,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,10,FILTER_ANOVA + EMBEDDED,CFTR,TEMİZLENMİŞ,111,16,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9146058728265016,0.7236842105263158
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,16,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9513094416039662,0.8289473684210527
TabPFN,10,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TEMİZLENMİŞ,111,16,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9071497324756246,0.7236842105263157
TabPFN,10,WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,12,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.8894992098479853,0.6447368421052632
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,18,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9453285127596676,0.7763157894736842
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,18,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9321024328540215,0.7763157894736842
TabPFN,20,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,20,2344,587,0.817717206132879,0.88604898828541,0.7153649196746199,0.8172888015717092,0.9674418604651163,0.4891113692024605,0.9016211145950759,0.8067989927418161
TabPFN,20,FILTER_MUTUAL_INFO,MASTER,TEMİZLENMİŞ,2931,20,2344,587,0.8194207836456558,0.8862660944206009,0.7241247827474906,0.8227091633466136,0.9604651162790697,0.4950653422245226,0.9041576255141428,0.8151088727595912
TabPFN,20,WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,20,2344,587,0.8364565587734242,0.896328293736501,0.7546157597714763,0.8366935483870968,0.9651162790697675,0.5493577063406047,0.9064700985307048,0.8380684343060287
TabPFN,20,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,20,2344,587,0.8364565587734242,0.896774193548387,0.7516657852987837,0.834,0.9697674418604652,0.5495173730867755,0.9198648838133633,0.8482002666271663
