model,veri_turu,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,KANSER,388,192,310,78,0.8589743589743589,0.9026548672566371,0.8234204568841326,0.864406779661017,0.9444444444444444,0.6570824601984488,0.8843530893270529,0.8425925925925927
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,KANSER,388,192,310,78,0.8461538461538461,0.8928571428571429,0.8100649350649352,0.8620689655172413,0.9259259259259259,0.626368234149017,0.9041668267810888,0.8634259259259258
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,MASTER,2931,192,2344,587,0.8432708688245315,0.8991228070175439,0.7739888844248024,0.8506224066390041,0.9534883720930233,0.5715763529142697,0.9247987314191044,0.8503480965782846
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_Eksik_Veri_Medyan,MASTER,2931,192,2344,587,0.8347529812606473,0.893523600439078,0.7623511538317063,0.8461538461538461,0.9465116279069767,0.5467783331677365,0.924478443626874,0.8498296548659457
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,MASTER,2931,192,2344,587,0.8313458262350937,0.8920392584514721,0.7534126253346856,0.839835728952772,0.9511627906976744,0.5349432600061309,0.9316627166084643,0.8561842689971856
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_AL_Sifir_EK_Medyan,MASTER,2931,192,2344,587,0.807495741056218,0.8754134509371555,0.726096238577192,0.8322851153039832,0.9232558139534883,0.4692624459233622,0.9281303571419997,0.8508665382906236
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,MASTER,2931,192,2344,587,0.7887563884156729,0.8594104308390023,0.7173764482962135,0.838495575221239,0.8813953488372093,0.4380130369330354,0.8991784402364877,0.7954080876907126
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_Eksik_Veri_KNNImputer,MASTER,2931,192,2344,587,0.807495741056218,0.8799149840595112,0.6974682216434895,0.8101761252446184,0.9627906976744186,0.4548109290973093,0.910085488332803,0.8181454599318619
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_Eksik_Veri_Medyan,PAH,372,192,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9392372611492915,0.7890818858560793
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,PAH,372,192,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.8955951845278594,0.7009925558312655
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,PAH,372,192,297,75,0.8533333333333334,0.9172932330827067,0.6351172047766475,0.8591549295774648,0.9838709677419355,0.36159249855128706,0.9323259573376392,0.7320099255583126
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_AL_Sifir_EK_Medyan,PAH,372,192,297,75,0.8533333333333334,0.9172932330827067,0.6351172047766475,0.8591549295774648,0.9838709677419355,0.36159249855128706,0.9301648992778316,0.7258064516129032
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,PAH,372,192,297,75,0.8533333333333334,0.9172932330827067,0.6351172047766475,0.8591549295774648,0.9838709677419355,0.36159249855128706,0.9365421608360682,0.7890818858560794
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_Eksik_Veri_KNNImputer,PAH,372,192,297,75,0.84,0.9104477611940298,0.5802238805970149,0.8472222222222222,0.9838709677419355,0.266028755201161,0.8948216717689121,0.7084367245657568
