model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,30,297,75,0.6666666666666666,0.7863247863247863,0.5143745143745144,0.8363636363636363,0.7419354838709677,0.042481136589518,0.8897863638185176,0.6277915632754343
TabNet,WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,30,88,23,0.6956521739130435,0.8108108108108109,0.5165165165165165,0.8333333333333334,0.7894736842105263,0.0362738125055005,0.8815073447435244,0.5921052631578948
TabNet,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.7240204429301533,0.7964824120603015,0.6839554917444364,0.8661202185792349,0.7372093023255814,0.3883703180613782,0.8844848519902577,0.7831284254184565
TabNet,EMBEDDED,KANSER,TEMİZLENMİŞ,388,30,310,78,0.7564102564102564,0.8376068376068376,0.6752136752136753,0.7777777777777778,0.9074074074074074,0.3795166950355406,0.8471020006057713,0.7229938271604939
TabNet,EMBEDDED,PAH,TEMİZLENMİŞ,372,30,297,75,0.72,0.8205128205128205,0.592074592074592,0.8727272727272727,0.7741935483870968,0.2017853988002106,0.9008296045634624,0.6712158808933002
TabNet,EMBEDDED,CFTR,TEMİZLENMİŞ,111,30,88,23,0.6521739130434783,0.7894736842105263,0.3947368421052631,0.7894736842105263,0.7894736842105263,-0.2105263157894736,0.8316740049802515,0.4276315789473684
TabNet,FILTER_ANOVA + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,52,2344,587,0.696763202725724,0.7712082262210797,0.6608566383630651,0.8620689655172413,0.6976744186046512,0.3531158513134361,0.8504430839932763,0.7333728336542734
TabNet,FILTER_ANOVA + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8461538461538461,0.8983050847457628,0.7912578055307762,0.828125,0.9814814814814816,0.6291775070021658,0.8643997450050882,0.7901234567901234
TabNet,FILTER_ANOVA + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,47,297,75,0.7733333333333333,0.8571428571428571,0.6543778801843317,0.8947368421052632,0.8225806451612904,0.3200013331999566,0.8700255215834838,0.6377171215880894
TabNet,FILTER_ANOVA + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,52,88,23,0.3478260869565217,0.3478260869565217,0.3478260869565217,1.0,0.2105263157894736,0.2105263157894736,0.9577573120305722,0.8157894736842105
TabNet,FILTER_ANOVA + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,52,2344,587,0.7291311754684838,0.8005018820577164,0.6893756094638714,0.8692098092643051,0.7418604651162791,0.3987986067938685,0.8818990396654016,0.7691601244260109
TabNet,FILTER_ANOVA + EMBEDDED,KANSER,TEMİZLENMİŞ,388,55,310,78,0.7692307692307693,0.8524590163934426,0.6615236258437801,0.7647058823529411,0.9629629629629628,0.4090479940519309,0.8216326755047173,0.7268518518518519
TabNet,FILTER_ANOVA + EMBEDDED,PAH,TEMİZLENMİŞ,372,53,297,75,0.8133333333333334,0.890625,0.6271306818181819,0.8636363636363636,0.9193548387096774,0.2644784836918971,0.9071857239082896,0.7493796526054591
TabNet,FILTER_ANOVA + EMBEDDED,CFTR,TEMİZLENMİŞ,111,55,88,23,0.6956521739130435,0.8205128205128205,0.4102564102564102,0.8,0.8421052631578947,-0.1777046633277277,0.8805901602044559,0.5
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,42,2344,587,0.7393526405451448,0.8113440197287299,0.6949282082114724,0.863517060367454,0.7651162790697674,0.4024238388148199,0.8969107349457535,0.7858095097022664
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,40,310,78,0.8461538461538461,0.8983050847457628,0.7912578055307762,0.828125,0.9814814814814816,0.6291775070021658,0.8551532621954416,0.8175154320987655
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,50,297,75,0.6133333333333333,0.7238095238095238,0.5396825396825397,0.8837209302325582,0.6129032258064516,0.174719382109862,0.9012966293787856,0.6129032258064516
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,46,88,23,0.9130434782608696,0.9473684210526316,0.8486842105263157,0.9473684210526316,0.9473684210526316,0.6973684210526315,0.9817801404957178,0.9210526315789472
TabNet,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,53,2344,587,0.7325383304940375,0.8064118372379778,0.6869524750928181,0.8582677165354331,0.7604651162790698,0.386295562886489,0.8373998802369205,0.7329877055251075
TabNet,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TEMİZLENMİŞ,388,56,310,78,0.7435897435897436,0.8181818181818182,0.691699604743083,0.8035714285714286,0.8333333333333334,0.384616945551278,0.8919637431525458,0.8113425925925926
TabNet,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TEMİZLENMİŞ,372,54,297,75,0.8133333333333334,0.8923076923076924,0.5961538461538461,0.8529411764705882,0.935483870967742,0.2163384934917746,0.8523803209266589,0.586848635235732
TabNet,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TEMİZLENMİŞ,111,54,88,23,0.8260869565217391,0.9047619047619048,0.4523809523809524,0.8260869565217391,1.0,0.0,0.8332230536268233,0.3947368421052631
