model,k,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,10,FILTER_ANOVA + WRAPPER_RFE,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,15,2344,587,0.7853492333901193,0.8492822966507177,0.7382506157809802,0.874384236453202,0.8255813953488372,0.47994843740323484,0.9150824774644728,0.8187305584357873
XGBoost,10,FILTER_ANOVA + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,19,2344,587,0.7853492333901193,0.8478260869565217,0.7418321186227695,0.8819095477386935,0.8162790697674419,0.489701688338778,0.918249491732996,0.8253888312842542
XGBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,18,2344,587,0.7768313458262351,0.8446026097271648,0.72441610848896,0.8619854721549637,0.827906976744186,0.45055406682429144,0.8888302962465335,0.7984520811731596
XGBoost,10,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,18,2344,587,0.7802385008517888,0.8466111771700356,0.7296118948913242,0.8661800486618005,0.827906976744186,0.4613820292321326,0.8984791016990558,0.8060879869648941
XGBoost,10,WRAPPER_RFE + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,18,2344,587,0.7853492333901193,0.85,0.7363772455089821,0.8707317073170732,0.8302325581395349,0.475167328238291,0.9135064539563783,0.8223448378018071
XGBoost,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,23,2344,587,0.7768313458262351,0.8431137724550898,0.7283415469945065,0.8691358024691358,0.8186046511627907,0.4603504020172552,0.9139156317132061,0.8201377573692787
XGBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,25,2344,587,0.7887563884156729,0.8534278959810875,0.7376895577466414,0.8677884615384616,0.8395348837209302,0.4765849809769429,0.9103554507256463,0.8204340097763294
XGBoost,10,FILTER_ANOVA,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,10,297,75,0.8133333333333334,0.8888888888888888,0.6527777777777778,0.875,0.9032258064516129,0.3079882402740058,0.9062984838374033,0.7034739454094293
XGBoost,10,FILTER_MUTUAL_INFO,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,10,297,75,0.8266666666666667,0.8992248062015504,0.6400885935769657,0.8656716417910447,0.9354838709677419,0.29819898137836215,0.8773343800822611,0.6464019851116625
XGBoost,10,WRAPPER_RFE,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,10,297,75,0.8133333333333334,0.8923076923076924,0.5961538461538461,0.8529411764705882,0.9354838709677419,0.21633849349177467,0.9153660790097842,0.7059553349875931
XGBoost,10,EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,10,297,75,0.8533333333333334,0.9147286821705426,0.6954595791805094,0.8805970149253731,0.9516129032258065,0.412305734456817,0.9137825227540685,0.7456575682382134
XGBoost,10,FILTER_ANOVA + WRAPPER_RFE,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,17,297,75,0.8,0.8837209302325582,0.584717607973422,0.8507462686567164,0.9193548387096774,0.18409222829990723,0.9037973732112017,0.6774193548387097
XGBoost,10,FILTER_ANOVA + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,19,297,75,0.8266666666666667,0.8976377952755905,0.6662102019856213,0.8769230769230769,0.9193548387096774,0.3384869153581527,0.9181906057161844,0.7096774193548387
XGBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,18,297,75,0.8533333333333334,0.916030534351145,0.6685415829650462,0.8695652173913043,0.967741935483871,0.3843131836828443,0.9164567948522188,0.6997518610421837
XGBoost,10,FILTER_MUTUAL_INFO + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,18,297,75,0.84,0.9076923076923077,0.6538461538461539,0.8676470588235294,0.9516129032258065,0.33742347119239485,0.905591570588375,0.7382133995037221
XGBoost,10,WRAPPER_RFE + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,18,297,75,0.8266666666666667,0.8992248062015504,0.6400885935769657,0.8656716417910447,0.9354838709677419,0.29819898137836215,0.9189870939187805,0.7096774193548387
XGBoost,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,25,297,75,0.8266666666666667,0.8992248062015504,0.6400885935769657,0.8656716417910447,0.9354838709677419,0.29819898137836215,0.9179522472283355,0.7022332506203474
XGBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,25,297,75,0.84,0.9076923076923077,0.6538461538461539,0.8676470588235294,0.9516129032258065,0.33742347119239485,0.9166179837417957,0.7084367245657568
XGBoost,20,FILTER_ANOVA,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9505235332786144,0.8026315789473684
XGBoost,20,FILTER_MUTUAL_INFO,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,20,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9634007913582621,0.8289473684210527
