model,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,WRAPPER_RFE + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,76,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8884244367671706,0.8441358024691358
XGBoost,WRAPPER_RFE + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,77,2344,587,0.817717206132879,0.8745603751465416,0.7706135209066041,0.8817966903073287,0.8674418604651163,0.5415530072316415,0.9119389801686456,0.8418160272552214
XGBoost,WRAPPER_RFE + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,79,297,75,0.8533333333333334,0.916030534351145,0.6685415829650462,0.8695652173913043,0.967741935483871,0.3843131836828443,0.914819587387599,0.7220843672456575
XGBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,106,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9453285127596676,0.7763157894736842
XGBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,113,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.8886445805878747,0.8410493827160495
XGBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,111,2344,587,0.8143100511073254,0.8719153936545241,0.7672270466724633,0.8812351543942993,0.8627906976744186,0.5349864019197242,0.9162356710536448,0.8393275070359948
XGBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,103,297,75,0.8266666666666667,0.8992248062015504,0.6400885935769657,0.8656716417910447,0.935483870967742,0.2981989813783621,0.9101389147674804,0.7121588089330024
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,106,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9241682402836058,0.7236842105263158
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,92,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.8929958952755549,0.8472222222222222
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,98,2344,587,0.8194207836456558,0.8764568764568764,0.7705069192410965,0.8785046728971962,0.8744186046511628,0.5410408980572926,0.9150947041963188,0.8443193600948007
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,109,297,75,0.84,0.9076923076923076,0.6538461538461539,0.8676470588235294,0.9516129032258064,0.3374234711923948,0.9171409864962172,0.7146401985111663
