model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,388,39,310,78,0.8717948717948718,0.912280701754386,0.8370927318295739,0.8666666666666667,0.9629629629629628,0.6897247020435424,0.8826042325456557,0.8449074074074074
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,372,54,297,75,0.8533333333333334,0.9172932330827068,0.6351172047766475,0.8591549295774648,0.9838709677419356,0.361592498551287,0.9133372982954752,0.7332506203473945
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,111,48,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9789236671752556,0.894736842105263
TabPFN,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE + EMBEDDED,MASTER,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,2931,31,2344,587,0.8500851788756388,0.9043478260869564,0.7789455665867853,0.8489795918367347,0.9674418604651164,0.5912526787696316,0.9121163176047362,0.8539327507035994
TabPFN,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE + EMBEDDED,KANSER,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,388,31,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814816,0.7556542691506458,0.8805208073225628,0.8842592592592592
TabPFN,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE + EMBEDDED,PAH,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,372,40,297,75,0.84,0.9104477611940298,0.5802238805970149,0.8472222222222222,0.9838709677419356,0.266028755201161,0.9481000154238702,0.7990074441687345
TabPFN,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE + EMBEDDED,CFTR,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,111,38,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9769473825902752,0.881578947368421
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,2931,53,2344,587,0.8364565587734242,0.8956521739130435,0.7588497090037658,0.8408163265306122,0.958139534883721,0.5498021446196526,0.9214895063492164,0.8515775440675455
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,388,53,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.8774371840202023,0.8449074074074074
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,372,55,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9446784442799784,0.7754342431761787
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,111,55,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9789236671752556,0.894736842105263
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,2931,43,2344,587,0.8568994889267462,0.9084967320261438,0.7901858660130718,0.8545081967213115,0.9697674418604652,0.6117851181702942,0.9313695448799338,0.86233150644349
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,388,40,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.8967846561752716,0.841820987654321
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,372,61,297,75,0.84,0.9090909090909092,0.6212121212121212,0.8571428571428571,0.967741935483871,0.3012440235352456,0.9092546068824884,0.7270471464019851
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,111,52,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9789236671752556,0.894736842105263
