model,k,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,10,FILTER_ANOVA + WRAPPER_RFE,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,17,297,75,0.72,0.8205128205128205,0.592074592074592,0.8727272727272727,0.7741935483870968,0.20178539880021068,0.8506954060619165,0.6228287841191067
TabNet,10,FILTER_ANOVA + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,17,297,75,0.7066666666666667,0.8135593220338984,0.5630296610169492,0.8571428571428571,0.7741935483870968,0.13822023746691833,0.7896533372593406,0.467741935483871
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,18,297,75,0.76,0.8548387096774194,0.5812655086848635,0.8548387096774194,0.8548387096774194,0.16253101736972705,0.8624053779446093,0.6594292803970223
TabNet,10,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,18,297,75,0.7466666666666667,0.848,0.544,0.8412698412698413,0.8548387096774194,0.08839356953989233,0.891353057102338,0.6389578163771712
TabNet,10,WRAPPER_RFE + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,20,297,75,0.68,0.7894736842105263,0.5614035087719298,0.8653846153846154,0.7258064516129032,0.15379557373305536,0.8982070967216955,0.6625310173697271
TabNet,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,24,297,75,0.7066666666666667,0.819672131147541,0.5169789227166276,0.8333333333333334,0.8064516129032258,0.03522349768381734,0.8725407750540681,0.5409429280397022
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,26,297,75,0.7333333333333333,0.8333333333333334,0.5833333333333334,0.8620689655172413,0.8064516129032258,0.17274868195593032,0.9123935070249276,0.7047146401985112
TabNet,20,FILTER_ANOVA,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.8370458597401731,0.5657894736842105
TabNet,20,FILTER_MUTUAL_INFO,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,20,88,23,0.7391304347826086,0.8235294117647058,0.6617647058823529,0.9333333333333333,0.7368421052631579,0.3874398651698183,0.9456517045840709,0.7763157894736842
TabNet,20,WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,20,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.9402273751883385,0.7236842105263158
TabNet,20,EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,20,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.824497690899098,0.5131578947368421
TabNet,20,FILTER_ANOVA + WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,36,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.9247297670916699,0.7105263157894737
TabNet,20,FILTER_ANOVA + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,38,88,23,0.8260869565217391,0.8888888888888888,0.7444444444444445,0.9411764705882353,0.8421052631578947,0.5110997067272864,0.9505365764266689,0.7894736842105263
TabNet,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,33,88,23,0.8695652173913043,0.926829268292683,0.6634146341463415,0.8636363636363636,1.0,0.4646601886422926,0.9000726775351997,0.6052631578947368
TabNet,20,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,36,88,23,0.5652173913043478,0.7058823529411765,0.4362745098039216,0.8,0.631578947368421,-0.09424212936563148,0.8222959690155283,0.4342105263157895
TabNet,20,WRAPPER_RFE + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,38,88,23,0.6956521739130435,0.8108108108108109,0.5165165165165165,0.8333333333333334,0.7894736842105263,0.03627381250550058,0.8997570130318921,0.5921052631578948
TabNet,20,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,54,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.9682720057720053,0.8421052631578947
TabNet,20,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,49,88,23,0.6956521739130435,0.8108108108108109,0.5165165165165165,0.8333333333333334,0.7894736842105263,0.03627381250550058,0.9369490444719275,0.7105263157894737
TabNet,20,FILTER_ANOVA,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,20,310,78,0.6923076923076923,0.7551020408163265,0.6706544686840252,0.8409090909090909,0.6851851851851852,0.3662704470798053,0.865850681199447,0.7453703703703703
TabNet,20,FILTER_MUTUAL_INFO,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,20,310,78,0.7564102564102564,0.8256880733944955,0.7107163771227796,0.8181818181818182,0.8333333333333334,0.42174116783664994,0.8279917191635703,0.7337962962962963
TabNet,20,WRAPPER_RFE,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,20,310,78,0.782051282051282,0.8521739130434782,0.7187698833510074,0.8032786885245902,0.9074074074074074,0.455451402299327,0.8596970659396704,0.7924382716049382
TabNet,20,EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,20,310,78,0.717948717948718,0.7608695652173914,0.7085597826086957,0.9210526315789473,0.6481481481481481,0.48306480744009334,0.9201341491961936,0.8533950617283951
TabNet,20,FILTER_ANOVA + WRAPPER_RFE,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,35,310,78,0.6794871794871795,0.7474747474747475,0.6544391281233386,0.8222222222222222,0.6851851851851852,0.3286995542015319,0.7768321220178216,0.6983024691358025
TabNet,20,FILTER_ANOVA + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,34,310,78,0.7051282051282052,0.7722772277227723,0.677047704770477,0.8297872340425532,0.7222222222222222,0.3667737619435723,0.8883419777469626,0.7754629629629629
TabNet,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,34,310,78,0.7948717948717948,0.8571428571428571,0.7467532467532467,0.8275862068965517,0.8888888888888888,0.49913718658749795,0.8852982489811061,0.8132716049382717
TabNet,20,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,35,310,78,0.717948717948718,0.7755102040816326,0.6980999296270232,0.8636363636363636,0.7037037037037037,0.422288280162599,0.8591619495900473,0.7739197530864198
TabNet,20,WRAPPER_RFE + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,36,310,78,0.7307692307692307,0.7961165048543689,0.6999450448800146,0.8367346938775511,0.7592592592592593,0.40676121695925643,0.876967904101005,0.787037037037037
TabNet,20,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,48,310,78,0.7564102564102564,0.8118811881188119,0.7332133213321332,0.8723404255319149,0.7592592592592593,0.4802989739737256,0.8519599350220279,0.8040123456790123
TabNet,20,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,48,310,78,0.7307692307692307,0.7789473684210526,0.7173425366695427,0.9024390243902439,0.6851851851851852,0.4792630882322237,0.8935891841681268,0.8410493827160493
