model,k,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,20,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TEMİZLENMİŞ,388,29,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.8965076748321968,0.8703703703703703
CatBoost,20,WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,28,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.9091560384927294,0.8726851851851851
CatBoost,20,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,40,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.9181934890889432,0.8742283950617283
CatBoost,20,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,32,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.910505677266807,0.875
CatBoost,20,FILTER_ANOVA,PAH,TEMİZLENMİŞ,372,20,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419355,0.4424521595673921,0.918981567361927,0.7580645161290323
CatBoost,20,FILTER_MUTUAL_INFO,PAH,TEMİZLENMİŞ,372,20,297,75,0.88,0.9302325581395349,0.7508305647840532,0.8955223880597015,0.967741935483871,0.5264124875352719,0.92975187803311,0.7679900744416873
CatBoost,20,WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,20,297,75,0.8933333333333333,0.9393939393939394,0.7474747474747475,0.8857142857142857,1.0,0.5836602955995385,0.9524502912088642,0.8362282878411911
CatBoost,20,EMBEDDED,PAH,TEMİZLENMİŞ,372,20,297,75,0.88,0.9312977099236641,0.7288067496986741,0.8840579710144928,0.9838709677419355,0.5141487187108322,0.9586497106891002,0.8461538461538461
CatBoost,20,FILTER_ANOVA + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,34,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.938924135639118,0.7878411910669976
CatBoost,20,FILTER_ANOVA + EMBEDDED,PAH,TEMİZLENMİŞ,372,30,297,75,0.8533333333333334,0.9172932330827067,0.6351172047766475,0.8591549295774648,0.9838709677419355,0.36159249855128706,0.9177445235494884,0.7431761786600496
CatBoost,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,36,297,75,0.8933333333333333,0.9393939393939394,0.7474747474747475,0.8857142857142857,1.0,0.5836602955995385,0.9456275867283161,0.8027295285359801
CatBoost,20,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TEMİZLENMİŞ,372,37,297,75,0.88,0.9323308270676691,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9442127853315917,0.7965260545905707
CatBoost,20,WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,30,297,75,0.8933333333333333,0.9393939393939394,0.7474747474747475,0.8857142857142857,1.0,0.5836602955995385,0.9436990938823179,0.8101736972704714
CatBoost,20,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,39,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9451078846089398,0.8014888337468982
CatBoost,20,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,45,297,75,0.88,0.9323308270676691,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9308510495244143,0.7779156327543424
CatBoost,20,FILTER_ANOVA,CFTR,TEMİZLENMİŞ,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9400729172787994,0.7894736842105263
CatBoost,20,FILTER_MUTUAL_INFO,CFTR,TEMİZLENMİŞ,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9634007913582621,0.8289473684210527
CatBoost,20,WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9750467176713711,0.881578947368421
CatBoost,20,EMBEDDED,CFTR,TEMİZLENMİŞ,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9861974337288004,0.9342105263157895
CatBoost,20,FILTER_ANOVA + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,33,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9769061133225216,0.8947368421052632
CatBoost,20,FILTER_ANOVA + EMBEDDED,CFTR,TEMİZLENMİŞ,111,31,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.978250383087844,0.8947368421052632
CatBoost,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,29,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.978250383087844,0.8947368421052632
CatBoost,20,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TEMİZLENMİŞ,111,32,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9868003341687548,0.9342105263157895
CatBoost,20,WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,31,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9762740985028637,0.881578947368421
CatBoost,20,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,40,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9664709667968585,0.8421052631578947
CatBoost,20,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,39,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9669336296658273,0.8552631578947368
CatBoost,30,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.768313458262351,0.8337408312958435,0.7258591796928655,0.8788659793814433,0.7930232558139535,0.4616042157410744,0.8920692549063177,0.8016886387201897
CatBoost,30,FILTER_MUTUAL_INFO,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.8023850085178875,0.8595641646489104,0.7631154156577885,0.8964646464646465,0.8255813953488372,0.5332534027123714,0.9228570362997751,0.8485705821359798
CatBoost,30,WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.8126064735945485,0.8674698795180723,0.7738512188288036,0.9,0.8372093023255814,0.5533229150287873,0.9157214562084489,0.8533550585098504
CatBoost,30,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.8091993185689949,0.8663484486873508,0.7665075576770087,0.8897058823529411,0.8441860465116279,0.5360687633473601,0.9251629045270704,0.8607909939268257
CatBoost,30,FILTER_ANOVA + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,52,2344,587,0.8160136286201022,0.8705035971223022,0.7764282691493865,0.8985148514851485,0.8441860465116279,0.5571419271875101,0.9215807301350856,0.8483632054510443
CatBoost,30,FILTER_ANOVA + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,53,2344,587,0.8143100511073254,0.8706998813760379,0.7706973727121882,0.8886198547215496,0.8534883720930233,0.5432577698860609,0.9295730105495672,0.8652051547918826
CatBoost,30,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,45,2344,587,0.8109028960817717,0.8673835125448028,0.7690033289726981,0.8918918918918919,0.8441860465116279,0.5413482950071009,0.9327158292976224,0.8607021182047104
CatBoost,30,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,46,2344,587,0.817717206132879,0.8724672228843862,0.7765321189048797,0.8948655256723717,0.8511627906976744,0.5559003976812982,0.9376531322762933,0.8668789808917198
CatBoost,30,WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,43,2344,587,0.8109028960817717,0.8673835125448028,0.7690033289726981,0.8918918918918919,0.8441860465116279,0.5413482950071009,0.933496064740427,0.86507184120871
CatBoost,30,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,65,2344,587,0.8245315161839863,0.8781065088757396,0.782518300030575,0.8939759036144578,0.8627906976744186,0.5665242341646769,0.9326422001171333,0.8673085468819434
CatBoost,30,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,56,2344,587,0.8245315161839863,0.8775267538644471,0.7841087222775689,0.8978102189781022,0.858139534883721,0.5705814047383172,0.9254160683135586,0.8598874240853207
CatBoost,30,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8717948717948718,0.9090909090909091,0.8458498023715415,0.8928571428571429,0.9259259259259259,0.6932601734627976,0.9270298618417678,0.8800154320987654
CatBoost,30,FILTER_MUTUAL_INFO,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.9238729788671673,0.8757716049382716
CatBoost,30,WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8333333333333334,0.8807339449541285,0.8020691001366387,0.8727272727272727,0.8888888888888888,0.6044956738991982,0.8742645698968179,0.8649691358024691
CatBoost,30,EMBEDDED,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8717948717948718,0.9074074074074074,0.849537037037037,0.9074074074074074,0.9074074074074074,0.6990740740740741,0.927565602483899,0.8896604938271604
CatBoost,30,FILTER_ANOVA + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,49,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.885672140236317,0.8726851851851851
CatBoost,30,FILTER_ANOVA + EMBEDDED,KANSER,TEMİZLENMİŞ,388,52,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.9223586866397678,0.8819444444444444
CatBoost,30,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,43,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8862402560487634,0.867283950617284
CatBoost,30,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TEMİZLENMİŞ,388,44,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.9278604467618327,0.8873456790123456
CatBoost,30,WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,40,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8923792813985872,0.8665123456790123
CatBoost,30,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,59,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9034422261066851,0.8641975308641975
CatBoost,30,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,49,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.889002624624204,0.8773148148148148
CatBoost,30,FILTER_ANOVA,PAH,TEMİZLENMİŞ,372,30,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419355,0.4424521595673921,0.9177628834281808,0.7928039702233252
